,Fecha,Texto,code
0,2022-03-06T02:10:49.000Z,@jfowks @CONFIEP @SNIndustrias @snmpeperu @asbancperu @SBSPERU @esanperu @AFP_Integra @Roque_Benavides @bcrpoficial @BancoPichincha @ScotiabankPE @bbva_peru @AlicorpOficial @repsol_peru @rauldiezcanseco @EmbajadaEspPeru @Gestionpe @SEMANAeconomica @WongPeru @PlazaNortePeru @Repsol,{}
1,2022-03-06T02:10:36.000Z,"@MercedesP_28 @LaSalitadelSin @canalN_ @Repsol Xq será? Si no tiene interes, ni vive d la mamadera dl estado, q raro? @canalN_. Un canal q no es payaso😊😁😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",{}
2,2022-03-06T02:10:21.000Z,@CruzSilvaDelCa1 @Defensoria_Peru @FiscaliaPeru @Poder_Judicial_ @cnddhh @CONFIEP @SNIndustrias @snmpeperu @asbancperu @SBSPERU @esanperu @AFP_Integra @Roque_Benavides @bcrpoficial @BancoPichincha @ScotiabankPE @bbva_peru @AlicorpOficial @repsol_peru @rauldiezcanseco @EmbajadaEspPeru @Gestionpe @SEMANAeconomica @WongPeru @PlazaNortePeru @Repsol,{}
3,2022-03-06T02:08:59.000Z,RT @jfowks: El secretario general de uno de los gremios de pescadores de Ventanilla rechaza acuerdo firmado entre @pcmperu y @Repsol porque…,{}
4,2022-03-06T02:08:25.000Z,"RT @jfowks: .@OSINERGMIN informa que impuso multa coercitiva a @Repsol de 1975 UIT, más de 9 millones de soles, por no contar con un esquem…","{'code': 'Governance', 'polarity': 'N+'}"
5,2022-03-06T02:07:30.000Z,"RT @jfowks: Desde la olla común de gremio de pescadores de Ventanilla, dirigente reporta que solo recibieron de @Repsol un vale de 500 sole…","{'code': 'Governance', 'polarity': 'P'}"
6,2022-03-06T02:06:10.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
7,2022-03-06T02:05:39.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
8,2022-03-06T02:05:32.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
9,2022-03-06T02:05:22.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
10,2022-03-06T02:04:52.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
11,2022-03-06T02:04:50.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
12,2022-03-06T02:04:41.000Z,@MercedesP_28 @canalN_ @Repsol Amiga del Prosor creo?????🙈🙈#CastilloRenunciaYa  #VacanciaPedroCastilloYa,{}
13,2022-03-06T02:04:19.000Z,@MercedesP_28 @canalN_ @Repsol Vacancia ya!! Fuera Pedro Castillo!!,{}
14,2022-03-06T02:04:09.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
15,2022-03-06T02:03:55.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
16,2022-03-06T02:03:07.000Z,RT @Violeta74157223: @MercedesP_28 @canalN_ @Repsol Asi es pero les duro poco porque en realidad esperaban más pero hay gente con memoria q…,{}
17,2022-03-06T02:02:46.000Z,@javielon95 @Repsol https://t.co/4FpfKjkMuh,{}
18,2022-03-06T02:01:01.000Z,"RT @jfowks: Desde la olla común de gremio de pescadores de Ventanilla, dirigente reporta que solo recibieron de @Repsol un vale de 500 sole…","{'code': 'Governance', 'polarity': 'P'}"
19,2022-03-06T02:00:44.000Z,"@MercedesP_28 @canalN_ @Repsol Marcha para que se larguen todos, congresistas y gobierno son un tira de delincuentes y corruptos los metería a una cámara de gas para exterminarlos.",{}
20,2022-03-06T02:00:34.000Z,@MercedesP_28 @canalN_ @Repsol Enfermera? Debes ser del tipo Condori. Anda y chapa tu bono nomas tia ridicula.,{}
21,2022-03-06T02:00:16.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
22,2022-03-06T02:00:12.000Z,@MercedesP_28 @canalN_ @Repsol Multitudinaria manifestación decían en canal K ? https://t.co/42rTfvKwkB,{}
23,2022-03-06T01:59:33.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
24,2022-03-06T01:59:15.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
25,2022-03-06T01:59:07.000Z,"@MercedesP_28 @canalN_ @Repsol EL DINERO DE LA PUBLICIDAD ES DE TODOS LOS PERUANOS NO SOLO DE LOS ROJOS VAGOS . Ademas a repsol se le dio mucha cobartura oe basvr4 , o quieres q transmitan todo el año . Q trabaje el burro de castillo",{}
26,2022-03-06T01:59:04.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
27,2022-03-06T01:59:04.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
28,2022-03-06T01:58:33.000Z,@MercedesP_28 @canalN_ @Repsol Te debe estar cayendo platita de Sarratea para que pongas el pecho por Pedro Castillo.,"{'code': 'Performance', 'polarity': 'N'}"
29,2022-03-06T01:57:54.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
30,2022-03-06T01:57:17.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
31,2022-03-06T01:57:10.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
32,2022-03-06T01:56:59.000Z,"@MercedesP_28 @canalN_ @Repsol Viva la izquierda peruana genocida, corrupta, inepta https://t.co/4uz7lA0KvN",{}
33,2022-03-06T01:56:31.000Z,@MercedesP_28 @canalN_ @Repsol Llora nomás... https://t.co/zXqD3lo1zS,{}
34,2022-03-06T01:56:29.000Z,"@MercedesP_28 @canalN_ @Repsol Si hubo cobertura de todos los canales todo el tiempo sobre repsol, de que hablas???",{}
35,2022-03-06T01:56:29.000Z,@MercedesP_28 @canalN_ @Repsol Si Canal N tambien transmitió cuando tu jefe el Burro Castillo hacia negociados de madrugada en Breña.,{}
36,2022-03-06T01:54:10.000Z,"RT @jfowks: Desde la olla común de gremio de pescadores de Ventanilla, dirigente reporta que solo recibieron de @Repsol un vale de 500 sole…","{'code': 'Governance', 'polarity': 'P'}"
37,2022-03-06T01:54:06.000Z,@MercedesP_28 @canalN_ @Repsol Jajaja tienes que pagar para promocionar tu post de antifuji traumado,{}
38,2022-03-06T01:53:20.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
39,2022-03-06T01:52:43.000Z,"@CorruptosSon @MercedesP_28 @canalN_ @Repsol No se preocupe sra q ahora todos estamos con wilas con los mejores periodistas.
No como otros chupa medias.que les gusta estar con el poder de turno.y nos les importa nuestro país.",{}
40,2022-03-06T01:52:09.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
41,2022-03-06T01:52:09.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
42,2022-03-06T01:50:49.000Z,"@MercedesP_28 @canalN_ @Repsol Muchos vemos @canalN_  por arrastre, solo por la @Liga1Peruana tenemos @GOLPERUoficial , así de simple",{}
43,2022-03-06T01:49:33.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
44,2022-03-06T01:48:56.000Z,"@Yeseniarosas123 @MercedesP_28 @canalN_ @Repsol Otra porquería que sale en defensa del burro.corrupto.junto con los sobrinos.y
Amigos.",{}
45,2022-03-06T01:48:10.000Z,"@MercedesP_28 @canalN_ @Repsol buen punto, buena observacion",{}
46,2022-03-06T01:47:39.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
47,2022-03-06T01:46:57.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
48,2022-03-06T01:46:16.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
49,2022-03-06T01:46:11.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
50,2022-03-06T01:45:17.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
51,2022-03-06T01:45:09.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
52,2022-03-06T01:45:05.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
53,2022-03-06T01:44:43.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
54,2022-03-06T01:42:55.000Z,@MercedesP_28 @canalN_ @Repsol Tremendas ratas. Pero todavía hay prensa honesta. Dios sabrá donde pero la hay.,{}
55,2022-03-06T01:41:34.000Z,RT @MercedesP_28: Que tal cobertura a la marcha de los vacadores @canalN_ canal K .pero nunca transmite de esta manera cuando hay conflicto…,{}
56,2022-03-06T01:40:04.000Z,@MercedesP_28 @canalN_ @Repsol La K de Karelin 🤭,{}
57,2022-03-06T01:39:35.000Z,@HernanRondan1 @MercedesP_28 @LaSalitadelSin @canalN_ @Repsol Al parecer uds que están comentando. Yo ni enterado,{}
58,2022-03-06T01:38:51.000Z,"RT @jfowks: Desde la olla común de gremio de pescadores de Ventanilla, dirigente reporta que solo recibieron de @Repsol un vale de 500 sole…","{'code': 'Governance', 'polarity': 'P'}"
