,Fecha,Texto,code
0,2021-12-10T00:09:16.000Z,"@MyWaylet @lapleta @Repsol @GuiaRepsol @HuaweiMobileESP 🚌 👬👬👬🗻 🏂= 👦🏻❤👧🏻
(Un viaje de amigos a la nieve a hacer snow dio como resultado conocer a mi pareja, desde entonces me encanta más la nieve). 
@blaaaGL",{}
1,2021-12-09T23:28:12.000Z,"@Repsol @consumidores @Codigodebarras No es de recibo q haya q buscar a un amigo con coche para ir a una gasolinera a comprar las bombonas. Me parece una vergüenza.
Mi hija es joven...a los ancianos les hacen lo mismo?","{'code': 'ProductsServices', 'polarity': 'NEU'}"
2,2021-12-09T23:25:18.000Z,"@Repsol @consumidores @Codigodebarras no se trata de q a mi hija le solucionen un problema. Mi hija vive con dos estudiantes más. De lo q piden no tiene nada y el DNI no lo van a dar.
Leanse los comentarios en Google y o les ponen las pilas o cambian de distruidor.",{}
3,2021-12-09T22:32:18.000Z,@Ruben_Sardon @Zwei91 @alvariteus @Repsol Esa no la conocía. Donde está el truco?,{}
4,2021-12-09T22:23:42.000Z,"@INFOSAEZ @Zwei91 @alvariteus @Repsol La que cuesta 0,10€ es la tarifa Precio fijo largo plazo. https://t.co/gyVMrEEqct","{'code': 'Performance', 'polarity': 'P'}"
5,2021-12-09T22:23:11.000Z,@INFOSAEZ @Zwei91 @alvariteus @Repsol Esa es otra tarifa...,"{'code': 'ProductsServices', 'polarity': 'NONE'}"
6,2021-12-09T22:20:08.000Z,"RT @ateb_es: D. Francisco Lucas @curro_lucas de @Repsol impartió la Conferencia Magistral: ♻""#ECONOMÍACIRCULAR APLICADA A LAS EMULSIONES BI…",{}
7,2021-12-09T22:12:39.000Z,@Ruben_Sardon @Zwei91 @alvariteus @Repsol https://t.co/ylcVGS9EPZ,{}
8,2021-12-09T22:08:07.000Z,@INFOSAEZ @Zwei91 @alvariteus @Repsol https://t.co/gyVMrEEqct,{}
9,2021-12-09T22:07:27.000Z,@Ruben_Sardon @Zwei91 @alvariteus @Repsol Cuando hiciste el contrato? Porque ahora está bastante más caro.,{}
10,2021-12-09T22:02:59.000Z,"@Repsol hola buena tarde, quiero facturar un ticket de una de sus gasolineras, pero los datos que pide la página no son los mismos componentes del ticket.",{}
11,2021-12-09T21:22:26.000Z,RT @UniversidadxC: Y el #PDI asociado tan ecologista @FernandoVallada junto con  la junta de la facultad de @ESCET_URJC donde se imparte CC…,"{'code': 'Citizenship', 'polarity': 'P'}"
12,2021-12-09T20:42:38.000Z,"RT @eCdPersonas: Referentes de primer nivel hablan sobre #talento y #liderazgo. No te pierdas este lunes #enClaveDeLíderes, la segunda entr…","{'code': 'Leadership', 'polarity': 'P'}"
