,Fecha,Texto,code
0,2022-01-10T02:01:18.000Z,RT @soydigitalwoman: 🚀Today on ⁦@rtve⁩ gracias 💪🏼por dar visibilidad otra vez a #Emprendedoras ⁦@Thecatonahot⁩ ⁦@Repsol⁩ ⁦@teresaalarcos⁩ ⁦…,{}
1,2022-01-10T00:02:47.000Z,RT @Ferfollos: @UniversidadxC @ValdesL2 @FernandoVallada @ecologistas @Repsol Yo es que directamente no creo que el coche eléctrico sea la…,{}
2,2022-01-10T00:00:44.000Z,"@Repsol No, esk Repsol no, lo siento lo tengo muy cruzado",{}
3,2022-01-09T23:33:13.000Z,"@kr4zyb0y @Repsol El agua es H₂O. Si la descompones, tienes hidrógeno H₂. Si la oxidas, con oxígeno O₂, obtienes de nuevo agua.
Química elemental.
2 H₂ + O₂ → 2 H₂O
¿Cuál es el elemento que falta?",{}
4,2022-01-09T23:15:53.000Z,RT @dtodo1paco: Hola @Repsol acabo de comprar 2 recambios de bombona de butano y me las han cobrado a 21.25 € cuando en vuestra web indicái…,{}
5,2022-01-09T21:25:51.000Z,"@cartagena_hoy @Repsol Hace poco también en la tienda al lado del restaurante chino por ahí cerca. Ahora esto. Y multitud de robos en coches en la zona sindicato. Y el parque del ensanche con gente de “acampada”. Hola, @AytoCartagenaES @PoliciaLocalCT",{}
6,2022-01-09T21:04:02.000Z,@Repsol Gracias,{}
7,2022-01-09T21:02:36.000Z,"RT @pacomarcos: Demandas de ⁦@fenadismer⁩ y ⁦@FATRANSSAS⁩ contra ⁦@Repsol,⁩ ⁦@Cepsa_ES⁩ y BP x fijación del precio de reventa del combustib…",{}
8,2022-01-09T21:02:13.000Z,@Repsol Pagar por sus tonterías 200 veces más la factura de la luz es muy sostenible....para el bolsillo de su CEO y sus amigos.,"{'code': 'Citizenship', 'polarity': 'P+'}"
9,2022-01-09T20:54:29.000Z,🚀💓Hoy en @rtve recordando la importancia de ser #emprendedoras @teresaalarcos @Thecatonahot @Repsol @MarsiBionics #ElenaGarcia @soydigitalwoman #WstartupC muy agradecidas 💪🏼 https://t.co/j2En1bbMND,{}
10,2022-01-09T20:50:44.000Z,🚀Today on ⁦@rtve⁩ gracias 💪🏼por dar visibilidad otra vez a #Emprendedoras ⁦@Thecatonahot⁩ ⁦@Repsol⁩ ⁦@teresaalarcos⁩ ⁦@MarsiBionics⁩ #ElenaGarcia #Wstartupc https://t.co/F6UTJ4Zoba,{}
