,Fecha,Texto
0,2022-05-12T00:16:28.000Z,RT @RubenSanchezTW: Tengo gas natural con una de las comercializadoras de referencia (tarifa regulada TUR). Pago 33€ al mes (consumo 400 kW…
1,2022-05-12T00:09:12.000Z,RT @RubenSanchezTW: Tengo gas natural con una de las comercializadoras de referencia (tarifa regulada TUR). Pago 33€ al mes (consumo 400 kW…
2,2022-05-11T23:52:36.000Z,@Repsol hola! intento entrar en mi contrato pero me pone esto. Lo necesito para entrar en la app. ¿Me ayudáis? Gracias https://t.co/SHXYFFQDZb
3,2022-05-11T23:23:58.000Z,RT @RubenSanchezTW: Tengo gas natural con una de las comercializadoras de referencia (tarifa regulada TUR). Pago 33€ al mes (consumo 400 kW…
4,2022-05-11T23:21:01.000Z,"RT @UniversidadxC: Para empezar, a pesar de ser PDI de literatura de @unibarcelona has sido tú quien nos citó sobre un tema de salud ambien…"
5,2022-05-11T23:20:14.000Z,RT @RubenSanchezTW: Tengo gas natural con una de las comercializadoras de referencia (tarifa regulada TUR). Pago 33€ al mes (consumo 400 kW…
6,2022-05-11T22:58:52.000Z,RT @UniversidadxC: La Asamblea Climática Española nació neutralizada al contar con asesor@s y expert@s científic@s vinvulad@s con marketing…
7,2022-05-11T22:55:07.000Z,"RT @facua: ¿Tienes gas natural? Ojo a lo que estás pagando de más si estás en mercado libre en vez de en la tarifa regulada TUR

Consumo de…"
8,2022-05-11T22:22:50.000Z,@fotosvdea @Repsol @plenoil para cuando unos cheques descuentos para estos muchachos
9,2022-05-11T22:21:51.000Z,"@S21Adrian @Repsol Entonces, Plenoil 🤣"
10,2022-05-11T22:17:16.000Z,RT @RubenSanchezTW: Tengo gas natural con una de las comercializadoras de referencia (tarifa regulada TUR). Pago 33€ al mes (consumo 400 kW…
11,2022-05-11T22:09:42.000Z,@fotosvdea @Repsol No si digo por el viaje que os habéis hecho JAJAJAJA
12,2022-05-11T22:07:36.000Z,"@S21Adrian @Repsol Son de GNC, a Naturgy 🙃"
13,2022-05-11T22:02:51.000Z,@fotosvdea A @Repsol le ha gustado este Tweet
14,2022-05-11T21:40:07.000Z,"@cristianmora_28 No, también tenemos @Repsol En breve SuC de @Tesla y @wenea_es ‘ esperando a @zunder_es  tambien!"
15,2022-05-11T21:26:31.000Z,"@Repsol, ¿ es cierto que estáis cobrando por utilizar los manómetros en Zaragoza? Lo próximo que será? Cobrar el guante de plástico?"
16,2022-05-11T21:20:46.000Z,"rtr: Spain and Portugal's plan to cap gas prices 'reasonable', says Repsol CEO. The decision by Spain and Portugal to introduce a temporary cap on the reference price of natural gas and coal was a ""reasonable"" move, CEO of Spanish energy giant @Repsol said https://t.co/lB8VS6gkaX"
17,2022-05-11T21:14:51.000Z,"RT @Eva_2909: La transición energética será feminista o no será. 
@MUnibertsitatea @Repsol @esMONDRAGON @ArrasatekoUdala 
Todo lo demás.. u…"
18,2022-05-11T21:14:06.000Z,RT @RubenSanchezTW: Tengo gas natural con una de las comercializadoras de referencia (tarifa regulada TUR). Pago 33€ al mes (consumo 400 kW…
19,2022-05-11T21:12:14.000Z,"En Euskadi, las juntas Generales de Bizkaia @Bizkaia del @eajpnv va en el buen camino de ir al abismo(y de paso redondear el balance de resultados del @Repsol de Josu Jon Imaz). Después de los miles de millones gastados en la Y vasca, subvencionemos al particular ,muera el tren. https://t.co/Da8HIxZbnZ"
20,2022-05-11T21:09:39.000Z,RT @zuribia: Está bien que sobre el modelo energético debatan @iberdrola (electrificar) @Repsol (mantener fósiles) y @arantxa_tapia (explot…
21,2022-05-11T21:08:38.000Z,"RT @Eva_2909: La transición energética será feminista o no será. 
@MUnibertsitatea @Repsol @esMONDRAGON @ArrasatekoUdala 
Todo lo demás.. u…"
22,2022-05-11T21:08:18.000Z,"RT @Eva_2909: La transición energética será feminista o no será. 
@MUnibertsitatea @Repsol @esMONDRAGON @ArrasatekoUdala 
Todo lo demás.. u…"
